cliente_id,produto_id,decisao_em,cliente_patrimonio,cliente_perfil,perfil_calculado,horizonte_anos,tolerancia_perda,num_posicoes,pct_rf,pct_rv,pct_fundos,pct_previdencia,pct_estruturados,pct_cambio,top_emissor_pct,emissor_alvo_match,produto_categoria,produto_risco,produto_rentabilidade_ano,produto_perfil_minimo,produto_taxa_admin,produto_tributacao,produto_liquidez_meses,aprovado
synth-cli-0000,fundo-mm-4,2026-05-23,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,FUNDOS,3,12.89,MODERADO,2.27,TRIBUTADO,1.604,1
synth-cli-0000,rf-pub-1,2026-02-21,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,RENDA_FIXA,3,12.55,MODERADO,0.0,INCENTIVADO,36.0,1
synth-cli-0000,rf-cdb-3,2026-01-12,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,RENDA_FIXA,1,13.62,CONSERVADOR,0.0,TRIBUTADO,0.042,1
synth-cli-0000,rf-cdb-1,2026-04-27,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,1,RENDA_FIXA,1,11.46,CONSERVADOR,0.0,TRIBUTADO,0.056,0
synth-cli-0000,firf-2,2026-01-27,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,FUNDOS,2,11.76,CONSERVADOR,0.78,TRIBUTADO,1.0,1
synth-cli-0000,rv-ivvb11,2026-03-03,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,RENDA_VARIAVEL,4,17.47,ARROJADO,0.0,ISENTO,0.067,1
synth-cli-0000,fundo-mm-1,2026-05-04,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,FUNDOS,4,15.74,ARROJADO,1.01,TRIBUTADO,1.806,0
synth-cli-0000,rv-itsa4,2026-02-17,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,RENDA_VARIAVEL,4,15.45,ARROJADO,0.0,TRIBUTADO,0.067,1
synth-cli-0000,cambio-1,2026-05-21,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,CAMBIO,4,10.47,ARROJADO,1.77,TRIBUTADO,1.0,0
synth-cli-0000,firf-0,2026-01-25,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,FUNDOS,2,12.61,CONSERVADOR,0.86,TRIBUTADO,1.0,1
synth-cli-0000,rv-bpac11,2026-03-22,2485222.73,AGRESSIVO,AGRESSIVO,14,41.6,3,0.5474,0.0,0.0,0.189,0.0,0.2375,0.5474,0,RENDA_VARIAVEL,4,19.32,ARROJADO,0.0,ISENTO,0.067,1
synth-cli-0001,rv-btlg11,2026-03-20,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,RENDA_VARIAVEL,3,11.31,MODERADO,0.0,ISENTO,0.067,0
synth-cli-0001,rv-itsa4,2026-05-07,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,RENDA_VARIAVEL,4,15.45,ARROJADO,0.0,TRIBUTADO,0.067,0
synth-cli-0001,fundo-mm-2,2026-05-24,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,FUNDOS,3,15.29,MODERADO,1.51,TRIBUTADO,1.155,0
synth-cli-0001,rf-cdb-3,2026-04-01,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,RENDA_FIXA,1,13.62,CONSERVADOR,0.0,TRIBUTADO,0.042,1
synth-cli-0001,rf-pub-0,2026-03-20,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,RENDA_FIXA,1,6.5,CONSERVADOR,0.0,TRIBUTADO,0.033,1
synth-cli-0001,prev-1,2026-02-10,12582149.9,CONSERVADOR,CONSERVADOR,3,8.2,3,0.3649,0.0,0.0563,0.3117,0.0,0.0,0.3649,0,PREVIDENCIA,3,10.58,MODERADO,0.86,INCENTIVADO,0.167,0
